rowDate,rowAmount
1/1/1995,116495000
2/1/1995,116693000
3/1/1995,116912000
4/1/1995,117074000
5/1/1995,117057000
6/1/1995,117297000
7/1/1995,117389000
8/1/1995,117641000
9/1/1995,117893000
10/1/1995,118045000
11/1/1995,118191000
12/1/1995,118323000
1/1/1996,118310000
2/1/1996,118735000
3/1/1996,119000000
4/1/1996,119165000
5/1/1996,119491000
6/1/1996,119772000
7/1/1996,120023000
8/1/1996,120208000
9/1/1996,120421000
10/1/1996,120682000
11/1/1996,120977000
12/1/1996,121148000
1/1/1997,121379000
2/1/1997,121687000
3/1/1997,121999000
4/1/1997,122291000
5/1/1997,122554000
6/1/1997,122818000
7/1/1997,123121000
8/1/1997,123099000
9/1/1997,123598000
10/1/1997,123942000
11/1/1997,124241000
12/1/1997,124559000
1/1/1998,124831000
2/1/1998,125029000
3/1/1998,125174000
4/1/1998,125454000
5/1/1998,125856000
6/1/1998,126079000
7/1/1998,126209000
8/1/1998,126549000
9/1/1998,126767000
10/1/1998,126968000
11/1/1998,127241000
12/1/1998,127608000
1/1/1999,127725000
2/1/1999,128135000
3/1/1999,128242000
4/1/1999,128614000
5/1/1999,128825000
6/1/1999,129089000
7/1/1999,129417000
8/1/1999,129571000
9/1/1999,129796000
10/1/1999,130190000
11/1/1999,130479000
12/1/1999,130789000
1/1/2000,131007000
2/1/2000,131138000
3/1/2000,131605000
4/1/2000,131898000
5/1/2000,132117000
6/1/2000,132081000
7/1/2000,132254000
8/1/2000,132239000
9/1/2000,132383000
10/1/2000,132368000
11/1/2000,132590000
12/1/2000,132727000
1/1/2001,132702000
2/1/2001,132776000
3/1/2001,132748000
4/1/2001,132469000
5/1/2001,132428000
6/1/2001,132307000
7/1/2001,132199000
8/1/2001,132053000
9/1/2001,131803000
10/1/2001,131475000
11/1/2001,131178000
12/1/2001,131001000
1/1/2002,130852000
2/1/2002,130724000
3/1/2002,130707000
4/1/2002,130624000
5/1/2002,130641000
6/1/2002,130692000
7/1/2002,130615000
8/1/2002,130608000
9/1/2002,130541000
10/1/2002,130654000
11/1/2002,130660000
12/1/2002,130490000
1/1/2003,130597000
2/1/2003,130451000
3/1/2003,130243000
4/1/2003,130194000
5/1/2003,130205000
6/1/2003,130198000
7/1/2003,130217000
8/1/2003,130171000
9/1/2003,130281000
10/1/2003,130486000
11/1/2003,130489000
12/1/2003,130610000
1/1/2004,130777000
2/1/2004,130835000
3/1/2004,131163000
4/1/2004,131417000
5/1/2004,131714000
6/1/2004,131796000
7/1/2004,131841000
8/1/2004,131957000
9/1/2004,132114000
10/1/2004,132462000
11/1/2004,132525000
12/1/2004,132651000
1/1/2005,132798000
2/1/2005,133042000
3/1/2005,133180000
4/1/2005,133538000
5/1/2005,133710000
6/1/2005,133957000
7/1/2005,134328000
8/1/2005,134524000
9/1/2005,134590000
10/1/2005,134676000
11/1/2005,135013000
12/1/2005,135168000
1/1/2006,135450000
2/1/2006,135762000
3/1/2006,136059000
4/1/2006,136227000
5/1/2006,136258000
6/1/2006,136337000
7/1/2006,136543000
8/1/2006,136722000
9/1/2006,136870000
10/1/2006,136882000
11/1/2006,137090000
12/1/2006,137263000
1/1/2007,137497000
2/1/2007,137582000
3/1/2007,137796000
4/1/2007,137855000
5/1/2007,138008000
6/1/2007,138085000
7/1/2007,138055000
8/1/2007,138027000
9/1/2007,138123000
10/1/2007,138201000
11/1/2007,138307000
12/1/2007,138411000
1/1/2008,138419000
2/1/2008,138338000
3/1/2008,138283000
4/1/2008,138054000
5/1/2008,137870000
6/1/2008,137716000
7/1/2008,137503000
8/1/2008,137226000
9/1/2008,136783000
10/1/2008,136308000
11/1/2008,135549000
12/1/2008,134842000
1/1/2009,134055000
2/1/2009,133351000
3/1/2009,132549000
4/1/2009,131845000
5/1/2009,131491000
6/1/2009,131022000
7/1/2009,130680000
8/1/2009,130484000
9/1/2009,130255000
10/1/2009,130046000
11/1/2009,130058000
12/1/2009,129781000
1/1/2010,129799000
2/1/2010,129726000
3/1/2010,129919000
4/1/2010,130140000
5/1/2010,130662000
6/1/2010,130522000
7/1/2010,130444000
8/1/2010,130428000
9/1/2010,130365000
10/1/2010,130632000
11/1/2010,130761000
12/1/2010,130834000
1/1/2011,130878000
2/1/2011,131060000
3/1/2011,131314000
4/1/2011,131637000
5/1/2011,131718000
6/1/2011,131952000
7/1/2011,132024000
8/1/2011,132136000
9/1/2011,132369000
10/1/2011,132578000
11/1/2011,132723000
12/1/2011,132924000
1/1/2012,133272000
2/1/2012,133505000
3/1/2012,133769000
4/1/2012,133841000
5/1/2012,133958000
6/1/2012,134026000
7/1/2012,134182000
8/1/2012,134355000
9/1/2012,134549000
10/1/2012,134702000
11/1/2012,134832000
12/1/2012,135075000
1/1/2013,135282000
2/1/2013,135547000
3/1/2013,135703000
4/1/2013,135882000
5/1/2013,136122000
6/1/2013,136280000
7/1/2013,136391000
8/1/2013,136651000
9/1/2013,136852000
10/1/2013,137062000
11/1/2013,137283000
12/1/2013,137376000
1/1/2014,137550000
2/1/2014,137732000
3/1/2014,137993000
4/1/2014,138304000
5/1/2014,138556000
6/1/2014,138862000
7/1/2014,139058000
8/1/2014,139284000
9/1/2014,139568000
10/1/2014,139823000
11/1/2014,140130000
12/1/2014,140381000
1/1/2015,140592000
2/1/2015,140859000
3/1/2015,140937000
4/1/2015,141219000
5/1/2015,141545000
6/1/2015,141736000
7/1/2015,141992000
8/1/2015,142156000
9/1/2015,142244000
10/1/2015,142595000
11/1/2015,142859000
12/1/2015,143093000
