rowDate,rowAmount
01/01/2015, 125819000
01/01/2014, 124587000
01/01/2013, 123931000
01/01/2012, 122459000
01/01/2011, 121084000
01/01/2010, 119927000
01/01/2009, 117538000
01/01/2008, 117181000
01/01/2007, 116783000
01/01/2006, 116011000
01/01/2005, 114384000
01/01/2004, 113343000
01/01/2003, 112000000
01/01/2002, 111278000
01/01/2001, 109297000
01/01/2000, 108209000
01/01/1999, 106434000
01/01/1998, 103874000
01/01/1997, 102528000
01/01/1996, 101018000
01/01/1995, 99627000
01/01/1994, 98990000
01/01/1993, 97107000
01/01/1992, 96426000
01/01/1991, 95669000
01/01/1990, 94312000
01/01/1989, 93347000
01/01/1988, 92830000
01/01/1987, 91124000
01/01/1986, 89479000
